source	target
Fat Larry's Band	Jews
Pain Series	Goatse
Africa	Europe
Africa	Wimmins
Africa	DO NOT WANT
Africa	Adolf Hitler
Africa	The Great Black Dick Hoax
Africa	Mexico
Africa	Jewnited States of Americunts
Africa	United States of Australia
Africa	India
Africa	Injuns
Africa	China
Africa	W
Africa	Fat Larry's Band
Africa	White Devils
Africa	Best Korea
Africa	United Kingdom
Africa	Barack Obama
Africa	Russia
Africa	Japan
Tits	13-year-old boy
Tits	Fat
Tits	Tits
Tits	China
Tits	Vagoo
Tits	Japan
Tits	Death
Tits	Ball
Tits	GTFO
Youtube Nobodies	United States of Australia
Youtube Nobodies	Jessi Slaughter
Youtube Nobodies	Insane
Youtube Nobodies	YouTube
Youtube Nobodies	Youtube Nobodies
Asperger's Syndrome	YouTube
Asperger's Syndrome	Furfag
Asperger's Syndrome	Animu
Asperger's Syndrome	Self Injury
Asperger's Syndrome	Jews
Asperger's Syndrome	DeviantART
Asperger's Syndrome	Internet Tough Guy
Asperger's Syndrome	Wimmins
Asperger's Syndrome	Pedophilia
Asperger's Syndrome	Adolf Hitler
Asperger's Syndrome	Jewnited States of Americunts
Asperger's Syndrome	Islam
Asperger's Syndrome	Conspiracy Theory
Asperger's Syndrome	Asperger's Syndrome
Asperger's Syndrome	Abortion
Asperger's Syndrome	Suicide
Asperger's Syndrome	Chris-chan
Asperger's Syndrome	Unfunny
Asperger's Syndrome	Jessi Slaughter
Asperger's Syndrome	Transgender
Asperger's Syndrome	Fat Larry's Band
Asperger's Syndrome	Scientology
Asperger's Syndrome	Fucktard
White Devils	Communism
White Devils	Fat
White Devils	W
White Devils	United States of Australia
White Devils	Barack Obama
White Devils	Internets
White Devils	JEWS DID WTC
White Devils	Injuns
White Devils	Furfag
White Devils	China
White Devils	Redneck
White Devils	Europe
White Devils	Russia
White Devils	Japan
White Devils	Chris-chan
White Devils	Aboriginal
White Devils	Columbine
White Devils	White Devils
White Devils	Social Justice
White Devils	Fact
White Devils	Jews
White Devils	Africa
White Devils	White Nationalism
White Devils	India
White Devils	You
White Devils	Christian
White Devils	Homosexuality
White Devils	Nigger
White Devils	The Great Black Dick Hoax
White Devils	Cock
White Devils	Mexico
White Devils	United Kingdom
White Devils	Jewnited States of Americunts
White Devils	Nazi
White Devils	Islam
I did it for the lulz	Communism
I did it for the lulz	Trolling IRL
I did it for the lulz	Jews
I did it for the lulz	Adolf Hitler
I did it for the lulz	Jewnited States of Americunts
Over 9000	Pwnt
Over 9000	YouTube
Over 9000	Fat
Over 9000	Asperger's Syndrome
Over 9000	Furfag
Over 9000	Meme
Over 9000	At least 100
Over 9000	Animu
Over 9000	Faggot
Over 9000	Jews
Over 9000	Chris-chan
I Can Has Cheezburger?	Meme
I Can Has Cheezburger?	LOL WUT
I Can Has Cheezburger?	Theft
Evil-unveiled.com/Pedospeak	Evil-unveiled.com/Pedospeak
Rape	Pwnt
Rape	Sand niggers
Rape	Secks
Rape	Retard
Rape	Fat
Rape	United States of Australia
Rape	Drug
Rape	Liar
Rape	4chan
Rape	The Internet is serious business
Rape	Zoe Quinn
Rape	Asperger's Syndrome
Rape	Furfag
Rape	Goatse
Rape	Cum
Rape	Self Injury
Rape	Lesbian
Rape	Animu
Rape	Your Mom
Rape	Japan
Rape	Rape
Rape	Internet Tough Guy
Rape	Chris-chan
Rape	Fellatio
Rape	I did it for the lulz
Rape	Aboriginal
Rape	Emo
Rape	Fact
Rape	Jews
Rape	Alcohol
Rape	You
Rape	YOU ARE DOING IT WRONG
Rape	Christian
Rape	Nigger
Rape	Cock
Rape	Jewnited States of Americunts
Rape	BDSM
Rape	Social Justice
Rape	Wimmins
Rape	Islam
Old media	Pwnt
Old media	Weblog
Old media	Conspiracy Theory
Old media	Liar
Old media	Internets
Old media	LOL WUT
Old media	What
Old media	Fact
Old media	Old media
Old media	Old people
Old media	Some argue
Old media	Unfunny
Old media	You
Old media	ALL CAPS
Hacker	Hacker
Hacker	Internet Tough Guy
Hacker	Skript kiddie
Hacker	Teenager
Hacker	Buy A Dog
Hacker	You
